GTIN,Brand,Category,Name,Weight,Ingredients,# of Ingredients,Price,Calories/Serving,Serving Size,Sugar (g),Total Fiber (g),Sodium,Protein
070470006437,Yoplait light,Yogurt,Light Very Vanilla Yogurt,6 oz,"Nutrition Facts at 1 Container Calories 90 Calories from Fato % Daity Value* Total Fat og ,cRUSH Saturated Fat Og 1% Trans Fat Og Cholesterol &lt; 5mg Sodium 80m 5v/u S, Carbohydrate 16c Protein 5g &quot;(ItaminA15% • Calcium 15% Nota.significantsourceof based",3,,80,1 container (170 g),7,—,75,5
070470006505,Yoplait,Yogurt,Light Strawberry Yogurt,6 oz,"Pasteurized grade a nonfat milk, strawberries, modified corn starch, sugar, kosher gelatin, citric acid, natural flavor, tricalcium phosphate, potassium sorbate added to maintain freshness, acesulfame potassium, sucralose, red #40, vitamin a acetate, yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), vitamin d3.",17,,80,1 Container (170 g),7,0,75,5
070470006529,Yoplait light,Yogurt,Light Blueberry Patch Yogurt,6 oz,"Pasteurized grade a nonfat milk, blueberries, modified corn starch, sugar, kosher gelatin, natural flavor, tricalcium phosphate, citric acid, potassium sorbate added to maintain freshness, acesulfame potassium, sucralose, red #40, vitamin a acetate, yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), blue #1, vitamin d3.",18,,80,1 Container (170 g),10,0,80,5
070470006550,Yoplait light,Yogurt,Light Harvest Peach Yogurt,6 oz (170g),"Pasteurized grade a nonfat milk, peaches, modified corn starch, sugar, kosher gelatin, peach juice concentrate, tricalcium phosphate, citric acid, natural flavor, potassium sorbate added to maintain freshness, acesulfame potassium, colored with annatto extract, sucralose, vitamin a acetate, yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), vitamin d3.",18,,80,1 container (170 g),10,—,80,5
070470003016,Yoplait original,Yogurt,Yoplait- Original Red Raspberry Low Fat Yogurt,6 Oz,"pasteurized grade a reduced fat milk, sugar, raspberries, modified corn starch, kosher gelatin, colored with beet juice concentrate, natural flavor, pectin, yogurt cultures (l, bulgaricus, s, thermophilus, l, acidophilus), vitamin a acetate, vitamin d3,",17,,140,1 container (170 g),19,0,100,5
070470003023,Yoplait original,Yogurt,Original Mountain Blueberry Low Fat Yogurt,6 oz / 170 g,"pasteurized grade a reduced fat milk, sugar, blueberries, modified corn starch, kosher gelatin, natural flavor, pectin, yogurt cultures (l bulgaricus, s thermophilus, l acidophilus), vitamin a acetate, vitamin d3,",13,,140,1 container (170 g),19,—,85,5
070470003139,Yoplait,Yogurt,Yoplait- Original Red Low Fat Yogurt Strawberry Banana,6 oz (170 g),"Pasteurized grade a reduced fat milk, sugar, strawberries, modified corn starch, banana puree, kosher gelatin, natural flavor, pectin, colored with carmine, yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), vitamin a acetate, vitamin d3.",14,,140,1 container (170.097 g),19,—,85,5
070470103754,Oui by Yoplait,Yogurt,Whole Milk French Style Yogurt raspberry blended,5 oz,"Pasteurized grade a milk, cane sugar, raspberries, pectin, black carrot juice (for color), yogurt cultures (l. bulgaricus, s. thermophilus), natural flavor.",8,,159,1 container (141 g),15,0.987,79,5.01
070470104119,Yoplait,Yogurt,Yoplait Go-Gurt Kids' Yogurt Sout Patch Kids Yogurt Tubes,"16 pack, 2oz tubes","cultured pasteurized grade a low fat milk, sugar, modified corn starch. contains 1% or less of: citric acid, kosher gelatin, malic acid, tricalcium phosphate, potassium sorbate added to maintain freshness, carrageenan, natural flavor, vegetable juice and beta carotene (for color), vitamin a acetate, vitamin d3.",12,,50,1 TUBE (56 g),8,0,30,2
070470137292,Yoplait,Yogurt,Simply go-gurt strawberry and mixed berry low fat kids ,"16 pack, 2oz tubes","Strawberry : cultured pasteurized grade a low fat milk, sugar, modified corn starch*. contains 1% or less of: kosher gelatin*, tricalcium phosphate , natural flavor, potassium sorbate added to maintain freshness, carrageenan*, vitamin a acetate, vitamin d3. *for thickening mixed berry : cultured pasteurized grade a low fat milk, sugar, modified corn starch*. contains 1% or less of: kosher gelatin*, tricalcium phosphate, potassium sorbate added to maintain freshness, natural flavor, carrageenan*, vitamin a acetate, vitamin d3. *for thickening",17,,50,1 tube (56 g) (56 g),8,0,31,2
070470138497,Yoplait,Yogurt,YQ by Yoplait Vanilla Yogurt-Made with Cultured Ultra-Filtered Milk,5.3,"Pasteurized grade a ultra-filtered milk, cane sugar, pectin, sea salt, natural flavor, vanilla beans, yogurt cultures (l. bulgaricus, s. thermophilus) .",8,,130,1 container (150 g) (150 g),9,0,71,15
070470138626,—,Yogurt,YQ by Yoplait Strawberry Yogurt-Made with Cultured Ultra-Filtered Milk,5.3 oz,"Pasteurized grade a ultra-filtered milk, strawberries, cane sugar, carrot juice (for color), sea salt, pectin, natural flavor, yogurt cultures (l. bulgaricus, s. thermophilus).",9,,123,1 container (150 g) (150 g),9,0,71,15
070470139197,—,Yogurt,YQ by Yoplait Peach Yogurt,5.3,"Pasteurized grade a ultra-filtered milk, peaches, cane sugar, sea salt, pumpkin juice and carrot juice (for color), pectin, natural flavor, yogurt cultures (l. bulgaricus, s. thermophilus).",9,,130,1 CONTAINER (150 g),9,0,71,15
070470006536,Yoplait Light,Yogurt,Yoplait light very cherry yogurt,6 oz,"Pasteurized grade a nonfat milk, modified corn starch, sugar, cherries, kosher gelatin, citric acid, malic acid, natural and artificial flavor, tricalcium phosphate, potassium sorbate added to maintain freshness, acesulfame potassium, sucralose, red #40, vitamin a acetate, yogurt cultures (l. bulgaricus, s. thermophilus, l. acidophilus), blue #1, vitamin d3.",19,,80,1 container (170 g),7,0,75,5
070470139425,Yoplait,Yogurt,YQ by Yoplait Coconut Yogurt,5.3 oz,"Pasteurized grade a ultra-filtered milk, coconut water concentrate, cane sugar, sea salt, lemon juice concentrate, natural flavor, yogurt cultures (l. bulgaricus, s. thermophilus), pectin.",9,,130,1 CONTAINER (150 g),9,0,80,15
030000567289,Quaker,Oatmeal,Instant Oatmeal Maple & Brown Sugar,"12.1 oz, 8 x 1.51 oz packets","Whole grain oats, sugar, salt, natural flavor.",4,,160,1 packet (43 g),12,3,260,4
705599018756,Kodiak,Oatmeal,Peak Oatmeal Berries and Cream,"10.58oz, 4 x 2.65 oz","100% whole grain rolled oats, pea protein concentrate with tapioca starch, cane sugar, milk protein concentrate, chia seeds, whey protein isolate with sunflower lecithin, berry blend (blueberries, strawberries, cranberries), milk protein isolate, natural flavor, sea salt, cream, citric acid, monk fruit extract",15,,290,1 serving (75 g),9,6,280,20
